선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
정우주,한화,2.85,51,3,0,0,3,1.0,53 2/3,34,6,21,10,82,18,17,1.025,0,0,0,0,228,1007,0.177,6,1,3,2,0,3,1,2025,53.666666666666664,3.23,3.23,147.4,13.75,3.52,3.9,1.06
와이스,한화,2.87,30,16,5,0,0,0.762,178 2/3,127,13,56,13,207,63,57,1.024,0,0,21,0,725,2837,0.197,30,1,4,6,0,5,2,2025,178.66666666666666,2.89,2.89,146.3,10.43,2.82,3.7,4.19
김기중,한화,3.07,5,0,1,0,0,0.0,14 2/3,16,0,6,1,8,5,5,1.5,0,0,0,0,66,259,0.276,2,1,0,1,0,1,0,2025,14.666666666666666,3.44,3.44,136.8,4.91,3.68,1.33,0.25
김서현,한화,3.14,69,2,4,33,2,0.333,66,52,4,31,8,71,23,23,1.258,0,0,0,4,280,1124,0.222,7,3,5,2,3,7,0,2025,66.0,3.51,3.51,133.8,9.68,4.23,2.29,1.09
류현진,한화,3.23,26,9,7,0,0,0.563,139 1/3,144,12,25,4,122,54,50,1.213,0,0,12,0,574,2268,0.267,22,3,5,0,2,2,0,2025,139.33333333333334,3.09,3.09,130.0,7.88,1.61,4.88,2.96
김종수,한화,3.25,63,4,5,0,5,0.444,63 2/3,57,5,36,4,59,30,23,1.461,0,0,0,0,282,1104,0.245,17,1,4,5,1,2,1,2025,63.666666666666664,4.15,4.15,129.2,8.34,5.09,1.64,0.6
박준영,한화,3.6,1,0,0,0,0,,5,3,0,6,0,3,2,2,1.8,0,0,0,0,24,110,0.176,0,0,0,1,0,0,0,2025,5.0,5.5,5.5,116.7,5.4,10.8,0.5,-0.03
윤산흠,한화,3.78,12,0,0,0,0,,16 2/3,16,1,5,3,17,7,7,1.26,0,0,0,0,73,268,0.246,5,0,0,0,0,1,1,2025,16.666666666666668,3.28,3.28,111.1,9.18,2.7,3.4,0.32
이태양,한화,3.97,14,0,1,0,0,0.0,11 1/3,14,0,5,1,8,5,5,1.676,0,0,0,1,51,181,0.318,5,0,1,0,1,0,0,2025,11.333333333333334,3.28,3.28,105.8,6.35,3.97,1.6,0.22
문동주,한화,4.02,24,11,5,0,0,0.688,121,112,7,31,3,135,57,54,1.182,1,0,11,0,501,1947,0.243,16,5,3,4,0,11,0,2025,121.0,2.46,2.46,104.5,10.04,2.31,4.35,3.41
조동욱,한화,4.05,68,3,3,2,5,0.5,60,77,4,29,4,43,29,27,1.767,0,0,0,1,283,1068,0.313,16,0,2,2,3,7,1,2025,60.0,4.18,4.18,103.7,6.45,4.35,1.48,0.55
박상원,한화,4.19,74,4,3,0,16,0.571,66 2/3,67,4,21,8,52,35,31,1.32,0,0,0,3,294,1128,0.261,14,1,4,4,0,4,0,2025,66.66666666666667,3.62,3.62,100.2,7.02,2.84,2.48,1.02
